Date,Torah Reading,History,Prophets,Psalms,Proverbs,Gospel,Epistles,Revelation
May 9,Numbers 12,2 Kings 3,Ezekiel 6,Psalm 126,Proverbs 9,Mark 12,James 1,Revelation 19
May 10,Numbers 13,2 Kings 4,Ezekiel 7,Psalm 127,Proverbs 10,Mark 13,James 2,Revelation 20
May 11,Numbers 14,2 Kings 5,Ezekiel 8,Psalm 128,Proverbs 11,Mark 14,James 3,Revelation 21
May 12,Numbers 15,2 Kings 6,Ezekiel 9,Psalm 129,Proverbs 12,Mark 15,James 4,Revelation 22
May 13,Numbers 16,2 Kings 7,Ezekiel 10,Psalm 130,Proverbs 13,Mark 16,James 5,Revelation 1
May 14,Numbers 17,2 Kings 8,Ezekiel 11,Psalm 131,Proverbs 14,Luke 1,1 Peter 1,Revelation 2
May 15,Numbers 18,2 Kings 9,Ezekiel 12,Psalm 132,Proverbs 15,Luke 2,1 Peter 2,Revelation 3
May 16,Numbers 19,2 Kings 10,Ezekiel 13,Psalm 133,Proverbs 16,Luke 3,1 Peter 3,Revelation 4
May 17,Numbers 20,2 Kings 11,Ezekiel 14,Psalm 134,Proverbs 17,Luke 4,1 Peter 4,Revelation 5
May 18,Numbers 21,2 Kings 12,Ezekiel 15,Psalm 135,Proverbs 18,Luke 5,1 Peter 5,Revelation 6
May 19,Numbers 22,2 Kings 13,Ezekiel 16,Psalm 136,Proverbs 19,Luke 6,2 Peter 1,Revelation 7
May 20,Numbers 23,2 Kings 14,Ezekiel 17,Psalm 137,Proverbs 20,Luke 7,2 Peter 2,Revelation 8
May 21,Numbers 24,2 Kings 15,Ezekiel 18,Psalm 138,Proverbs 21,Luke 8,2 Peter 3,Revelation 9
May 22,Numbers 25,2 Kings 16,Ezekiel 19,Psalm 139,Proverbs 22,Luke 9,1 John 1,Revelation 10
May 23,Numbers 26,2 Kings 17,Ezekiel 20,Psalm 140,Proverbs 23,Luke 10,1 John 2,Revelation 11
May 24,Numbers 27,2 Kings 18,Ezekiel 21,Psalm 141,Proverbs 24,Luke 11,1 John 3,Revelation 12
May 25,Numbers 28,2 Kings 19,Ezekiel 22,Psalm 142,Proverbs 25,Luke 12,1 John 4,Revelation 13
May 26,Numbers 29,2 Kings 20,Ezekiel 23,Psalm 143,Proverbs 26,Luke 13,1 John 5,Revelation 14
May 27,Numbers 30,2 Kings 21,Ezekiel 24,Psalm 144,Proverbs 27,Luke 14,2 John 1,Revelation 15
May 28,Numbers 31,2 Kings 22,Ezekiel 25,Psalm 145,Proverbs 28,Luke 15,3 John 1,Revelation 16
May 29,Numbers 32,2 Kings 23,Ezekiel 26,Psalm 146,Proverbs 29,Luke 16,Jude 1,Revelation 17
May 30,Numbers 33,2 Kings 24,Ezekiel 27,Psalm 147,Proverbs 30,Luke 17,Acts 1,Revelation 18
May 31,Numbers 34,2 Kings 25,Ezekiel 28,Psalm 148,Proverbs 31,Luke 18,Acts 2,Revelation 19
June 1,Numbers 35,1 Chronicles 1,Ezekiel 29,Psalm 149,Proverbs 1,Luke 19,Acts 3,Revelation 20
June 2,Numbers 36,1 Chronicles 2,Ezekiel 30,Psalm 150,Proverbs 2,Luke 20,Acts 4,Revelation 21
June 3,Deuteronomy 1,1 Chronicles 3,Ezekiel 31,Psalm 1,Proverbs 3,Luke 21,Acts 5,Revelation 22
June 4,Deuteronomy 2,1 Chronicles 4,Ezekiel 32,Psalm 2,Proverbs 4,Luke 22,Acts 6,Revelation 1
June 5,Deuteronomy 3,1 Chronicles 5,Ezekiel 33,Psalm 3,Proverbs 5,Luke 23,Acts 7,Revelation 2
June 6,Deuteronomy 4,1 Chronicles 6,Ezekiel 34,Psalm 4,Proverbs 6,Luke 24,Acts 8,Revelation 3
June 7,Deuteronomy 5,1 Chronicles 7,Ezekiel 35,Psalm 5,Proverbs 7,John 1,Acts 9,Revelation 4
June 8,Deuteronomy 6,1 Chronicles 8,Ezekiel 36,Psalm 6,Proverbs 8,John 2,Acts 10,Revelation 5
June 9,Deuteronomy 7,1 Chronicles 9,Ezekiel 37,Psalm 7,Proverbs 9,John 3,Acts 11,Revelation 6
June 10,Deuteronomy 8,1 Chronicles 10,Ezekiel 38,Psalm 8,Proverbs 10,John 4,Acts 12,Revelation 7
June 11,Deuteronomy 9,1 Chronicles 11,Ezekiel 39,Psalm 9,Proverbs 11,John 5,Acts 13,Revelation 8
June 12,Deuteronomy 10,1 Chronicles 12,Ezekiel 40,Psalm 10,Proverbs 12,John 6,Acts 14,Revelation 9
June 13,Deuteronomy 11,1 Chronicles 13,Ezekiel 41,Psalm 11,Proverbs 13,John 7,Acts 15,Revelation 10
June 14,Deuteronomy 12,1 Chronicles 14,Ezekiel 42,Psalm 12,Proverbs 14,John 8,Acts 16,Revelation 11
June 15,Deuteronomy 13,1 Chronicles 15,Ezekiel 43,Psalm 13,Proverbs 15,John 9,Acts 17,Revelation 12
June 16,Deuteronomy 14,1 Chronicles 16,Ezekiel 44,Psalm 14,Proverbs 16,John 10,Acts 18,Revelation 13
June 17,Deuteronomy 15,1 Chronicles 17,Ezekiel 45,Psalm 15,Proverbs 17,John 11,Acts 19,Revelation 14
June 18,Deuteronomy 16,1 Chronicles 18,Ezekiel 46,Psalm 16,Proverbs 18,John 12,Acts 20,Revelation 15
June 19,Deuteronomy 17,1 Chronicles 19,Ezekiel 47,Psalm 17,Proverbs 19,John 13,Acts 21,Revelation 16
June 20,Deuteronomy 18,1 Chronicles 20,Ezekiel 48,Psalm 18,Proverbs 20,John 14,Acts 22,Revelation 17
June 21,Deuteronomy 19,1 Chronicles 21,Daniel 1,Psalm 19,Proverbs 21,John 15,Acts 23,Revelation 18
June 22,Deuteronomy 20,1 Chronicles 22,Daniel 2,Psalm 20,Proverbs 22,John 16,Acts 24,Revelation 19
June 23,Deuteronomy 21,1 Chronicles 23,Daniel 3,Psalm 21,Proverbs 23,John 17,Acts 25,Revelation 20
June 24,Deuteronomy 22,1 Chronicles 24,Daniel 4,Psalm 22,Proverbs 24,John 18,Acts 26,Revelation 21
June 25,Deuteronomy 23,1 Chronicles 25,Daniel 5,Psalm 23,Proverbs 25,John 19,Acts 27,Revelation 22
June 26,Deuteronomy 24,1 Chronicles 26,Daniel 6,Psalm 24,Proverbs 26,John 20,Acts 28,Revelation 1
June 27,Deuteronomy 25,1 Chronicles 27,Daniel 7,Psalm 25,Proverbs 27,John 21,Romans 1,Revelation 2
June 28,Deuteronomy 26,1 Chronicles 28,Daniel 8,Psalm 26,Proverbs 28,Matthew 1,Romans 2,Revelation 3
June 29,Deuteronomy 27,1 Chronicles 29,Daniel 9,Psalm 27,Proverbs 29,Matthew 2,Romans 3,Revelation 4
June 30,Deuteronomy 28,2 Chronicles 1,Daniel 10,Psalm 28,Proverbs 30,Matthew 3,Romans 4,Revelation 5
July 1,Deuteronomy 29,2 Chronicles 2,Daniel 11,Psalm 29,Proverbs 1,Matthew 4,Romans 5,Revelation 6
July 2,Deuteronomy 30,2 Chronicles 3,Daniel 12,Psalm 30,Proverbs 2,Matthew 5,Romans 6,Revelation 7
July 3,Deuteronomy 31,2 Chronicles 4,Hosea 1,Psalm 31,Proverbs 3,Matthew 6,Romans 7,Revelation 8
July 4,Deuteronomy 32,2 Chronicles 5,Hosea 2,Psalm 32,Proverbs 4,Matthew 7,Romans 8,Revelation 9
July 5,Deuteronomy 33,2 Chronicles 6,Hosea 3,Psalm 33,Proverbs 5,Matthew 8,Romans 9,Revelation 10
July 6,Deuteronomy 34,2 Chronicles 7,Hosea 4,Psalm 34,Proverbs 6,Matthew 9,Romans 10,Revelation 11
July 7,Genesis 1,2 Chronicles 8,Hosea 5,Psalm 35,Proverbs 7,Matthew 10,Romans 11,Revelation 12
July 8,Genesis 2,2 Chronicles 9,Hosea 6,Psalm 36,Proverbs 8,Matthew 11,Romans 12,Revelation 13
July 9,Genesis 3,2 Chronicles 10,Hosea 7,Psalm 37,Proverbs 9,Matthew 12,Romans 13,Revelation 14
July 10,Genesis 4,2 Chronicles 11,Hosea 8,Psalm 38,Proverbs 10,Matthew 13,Romans 14,Revelation 15
July 11,Genesis 5,2 Chronicles 12,Hosea 9,Psalm 39,Proverbs 11,Matthew 14,Romans 15,Revelation 16
July 12,Genesis 6,2 Chronicles 13,Hosea 10,Psalm 40,Proverbs 12,Matthew 15,Romans 16,Revelation 17
July 13,Genesis 7,2 Chronicles 14,Hosea 11,Psalm 41,Proverbs 13,Matthew 16,1 Corinthians 1,Revelation 18
July 14,Genesis 8,2 Chronicles 15,Hosea 12,Psalm 42,Proverbs 14,Matthew 17,1 Corinthians 2,Revelation 19
July 15,Genesis 9,2 Chronicles 16,Hosea 13,Psalm 43,Proverbs 15,Matthew 18,1 Corinthians 3,Revelation 20
July 16,Genesis 10,2 Chronicles 17,Hosea 14,Psalm 44,Proverbs 16,Matthew 19,1 Corinthians 4,Revelation 21
July 17,Genesis 11,2 Chronicles 18,Joel 1,Psalm 45,Proverbs 17,Matthew 20,1 Corinthians 5,Revelation 22
July 18,Genesis 12,2 Chronicles 19,Joel 2,Psalm 46,Proverbs 18,Matthew 21,1 Corinthians 6,Revelation 1
July 19,Genesis 13,2 Chronicles 20,Joel 3,Psalm 47,Proverbs 19,Matthew 22,1 Corinthians 7,Revelation 2
July 20,Genesis 14,2 Chronicles 21,Amos 1,Psalm 48,Proverbs 20,Matthew 23,1 Corinthians 8,Revelation 3
July 21,Genesis 15,2 Chronicles 22,Amos 2,Psalm 49,Proverbs 21,Matthew 24,1 Corinthians 9,Revelation 4
July 22,Genesis 16,2 Chronicles 23,Amos 3,Psalm 50,Proverbs 22,Matthew 25,1 Corinthians 10,Revelation 5
July 23,Genesis 17,2 Chronicles 24,Amos 4,Psalm 51,Proverbs 23,Matthew 26,1 Corinthians 11,Revelation 6
July 24,Genesis 18,2 Chronicles 25,Amos 5,Psalm 52,Proverbs 24,Matthew 27,1 Corinthians 12,Revelation 7
July 25,Genesis 19,2 Chronicles 26,Amos 6,Psalm 53,Proverbs 25,Matthew 28,1 Corinthians 13,Revelation 8
July 26,Genesis 20,2 Chronicles 27,Amos 7,Psalm 54,Proverbs 26,Mark 1,1 Corinthians 14,Revelation 9
July 27,Genesis 21,2 Chronicles 28,Amos 8,Psalm 55,Proverbs 27,Mark 2,1 Corinthians 15,Revelation 10
July 28,Genesis 22,2 Chronicles 29,Amos 9,Psalm 56,Proverbs 28,Mark 3,1 Corinthians 16,Revelation 11
July 29,Genesis 23,2 Chronicles 30,Obadiah 1,Psalm 57,Proverbs 29,Mark 4,2 Corinthians 1,Revelation 12
July 30,Genesis 24,2 Chronicles 31,Jonah 1,Psalm 58,Proverbs 30,Mark 5,2 Corinthians 2,Revelation 13
July 31,Genesis 25,2 Chronicles 32,Jonah 2,Psalm 59,Proverbs 31,Mark 6,2 Corinthians 3,Revelation 14
August 1,Genesis 26,2 Chronicles 33,Jonah 3,Psalm 60,Proverbs 1,Mark 7,2 Corinthians 4,Revelation 15
August 2,Genesis 27,2 Chronicles 34,Jonah 4,Psalm 61,Proverbs 2,Mark 8,2 Corinthians 5,Revelation 16
August 3,Genesis 28,2 Chronicles 35,Micah 1,Psalm 62,Proverbs 3,Mark 9,2 Corinthians 6,Revelation 17
August 4,Genesis 29,2 Chronicles 36,Micah 2,Psalm 63,Proverbs 4,Mark 10,2 Corinthians 7,Revelation 18
